bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-73.9908104319,40.7716749321,-73.9881052329,40.7738760402",uuuu,85633793,,17333cc47230c2fe225493aaed9b10ad,,228d816b0b29987b6fe5ab90bd5954f6,40.772795,-73.989444,1108912251,uuuu,US,US,1490900130,0,0,85977539,W End Ave  & W 61st St,85853285,110/891/225/1/1108912251.geojson,intersection,85688543,mapzen,,,US
"-73.957612456,40.8122505952,-73.9555321642,40.814385081",uuuu,85633793,,268da8b325652db09c2d620a798d2c18,,0d90a12d45f986be173bb3afc88c042f,40.813456,-73.956458,1108912259,uuuu,US,US,1490900130,0,0,85977539,W 125th St  & Amsterdam Ave,85869313,110/891/225/9/1108912259.geojson,intersection,85688543,mapzen,,,US
"-73.9478721006,40.8056606311,-73.9455350536,40.8076645446",uuuu,85633793,,09df1aac76911d01c1e9e1bd42710769,,93761ad477ac58865f34b83006aa33ef,40.806652,-73.946689,1108912325,uuuu,US,US,1490900130,0,0,85977539,W 123rd St  & Malcolm X Blvd,85865555,110/891/232/5/1108912325.geojson,intersection,85688543,mapzen,,,US
"-73.9441918712,40.8154120561,-73.9413209794,40.817796234",uuuu,85633793,,70d184b7c4436c292eafcb896d109e80,,4b8e57795e7f39b041dfed04d7604333,40.816604,-73.942759,1108912327,uuuu,US,US,1490900131,0,0,85977539,W 137th St  & Adam Clayton Powell Jr Blvd,85865555,110/891/232/7/1108912327.geojson,intersection,85688543,mapzen,,,US
"-73.9394363941,40.8049200455,-73.9376617853,40.8065185451",uuuu,85633793,,e6f2150a67de0f9374f5347b43807923,,26f50229cab66d2a65d96e20a1e95ec9,40.805716,-73.938551,1108912323,uuuu,US,US,1490900131,0,0,85977539,E 126th St  & Park Ave,85865689,110/891/232/3/1108912323.geojson,intersection,85688543,mapzen,,,US
"-73.9543472234,40.8221332386,-73.9525629548,40.8235799486",uuuu,85633793,,ce30ba1b97c49bddcaf2bcb52e96c52c,,91483761fcfbaee63f1f28bcff0bb7af,40.822816,-73.953446,1108912321,uuuu,US,US,1490900131,0,0,85977539,W 139th St  & Broadway,85869313,110/891/232/1/1108912321.geojson,intersection,85688543,mapzen,,,US
"-73.9953181756,40.7298428875,-73.9942140391,40.7309222306",uuuu,85633793,,886fafcbf285f8979dba0284b2b5fcc3,,9980aea884b6cfce11fe5551d81b22ad,40.730403,-73.994758,1108910155,uuuu,US,US,1490900131,0,0,85977539,Waverly Pl  & Greene St,420529189,110/891/015/5/1108910155.geojson,intersection,85688543,mapzen,,,US
"-74.0029111843,40.720979321,-74.0015979845,40.7222798433",uuuu,85633793,,64eedbe5dbea67f8952f2731dcdc62fa,,df0cfafd0f4e626f1144ab4a03cc0653,40.721588,-74.002245,1108910157,uuuu,US,US,1490900131,0,0,85977539,Grand St  & Greene St,85865687,110/891/015/7/1108910157.geojson,intersection,85688543,mapzen,,,US
"-74.0060877056,40.7372055425,-74.005257412,40.7379095273",uuuu,85633793,,122c2343fc0bceeb0b26eafc84d23ecc,,6c0fb3c8c9f764850a097b62c2643fd2,40.737553,-74.005682,1108910153,uuuu,US,US,1490900131,0,0,85977539,W 12th St  & Hudson St,85856577,110/891/015/3/1108910153.geojson,intersection,85688543,mapzen,,,US
"-74.0104246548,40.7255317725,-74.0094583167,40.7274395802",uuuu,85633793,,166a9e9c6fa3549de4175d2ae1305ae8,,20d6a7ac8b963b4e0d70c553f8ce9fe2,40.726323,-74.009966,1108910159,uuuu,US,US,1490900131,0,0,85977539,Washington St  & Spring St,85865687,110/891/015/9/1108910159.geojson,intersection,85688543,mapzen,,,US
